Region,Year,Forecast
K-0301 Oslo,2023,80667.63785049765
K-0301 Oslo,2024,82489.43611654213
K-0301 Oslo,2025,84068.93565260056
K-0301 Oslo,2026,85648.36691595768
K-0301 Oslo,2027,87227.80256249725
K-0301 Oslo,2028,88807.2379276317
K-0301 Oslo,2029,90386.67331083266
K-0301 Oslo,2030,91966.10869287373
K-1103 Stavanger,2023,19762.646649526134
K-1103 Stavanger,2024,20473.377548685545
K-1103 Stavanger,2025,21138.614753733174
K-1103 Stavanger,2026,21803.570157911214
K-1103 Stavanger,2027,22468.61793822186
K-1103 Stavanger,2028,23133.63543704371
K-1103 Stavanger,2029,23798.662862331825
K-1103 Stavanger,2030,24463.687033660626
K-1106 Haugesund,2023,6033.378359934628
K-1106 Haugesund,2024,6215.621640065372
K-1106 Haugesund,2025,6385.765740951081
K-1106 Haugesund,2026,6555.47887645373
K-1106 Haugesund,2027,6725.314006006351
K-1106 Haugesund,2028,6895.114602511044
K-1106 Haugesund,2029,7064.924974340021
K-1106 Haugesund,2030,7234.732579052552
K-1506 Molde,2023,6139.029714646899
K-1506 Molde,2024,6333.897180512939
K-1506 Molde,2025,6499.725899340495
K-1506 Molde,2026,6658.112010287303
K-1506 Molde,2027,6819.97502415288
K-1506 Molde,2028,6980.213761407323
K-1506 Molde,2029,7141.211298827061
K-1506 Molde,2030,7301.854353711678
K-1833 Rana,2023,4952.970925988278
K-1833 Rana,2024,4983.180526493005
K-1833 Rana,2025,5060.356882015993
K-1833 Rana,2026,5147.929154759633
K-1833 Rana,2027,5229.498646534428
K-1833 Rana,2028,5314.534247032016
K-1833 Rana,2029,5397.5684568840725
K-1833 Rana,2030,5481.758304033274
K-3005 Drammen,2023,16629.83457337989
K-3005 Drammen,2024,17044.7034982542
K-3005 Drammen,2025,17398.46661012873
K-3005 Drammen,2026,17746.780119063686
K-3005 Drammen,2027,18097.367674770805
K-3005 Drammen,2028,18447.00630102759
K-3005 Drammen,2029,18797.040902913697
K-3005 Drammen,2030,19146.910269440144
K-3007 Ringerike,2023,6036.5566294957725
K-3007 Ringerike,2024,6192.680752868521
K-3007 Ringerike,2025,6339.769031937429
K-3007 Ringerike,2026,6483.990093782438
K-3007 Ringerike,2027,6629.494167877717
K-3007 Ringerike,2028,6774.42412417661
K-3007 Ringerike,2029,6919.610984682035
K-3007 Ringerike,2030,7064.68288659926
K-3029 Lørenskog,2023,6307.910884093047
K-3029 Lørenskog,2024,6555.699479945266
K-3029 Lørenskog,2025,6787.663579516643
K-3029 Lørenskog,2026,7019.597240950183
K-3029 Lørenskog,2027,7251.53440356105
K-3029 Lørenskog,2028,7483.471163445483
K-3029 Lørenskog,2029,7715.407969653929
K-3029 Lørenskog,2030,7947.3447705339095
K-3030 Lillestrøm,2023,12497.055357190378
K-3030 Lillestrøm,2024,12645.31131036331
K-3030 Lillestrøm,2025,12889.183835252084
K-3030 Lillestrøm,2026,13137.317384668298
K-3030 Lillestrøm,2027,13383.991279517706
K-3030 Lillestrøm,2028,13631.165192952005
K-3030 Lillestrøm,2029,13878.167820254008
K-3030 Lillestrøm,2030,14125.229123253283
K-3407 Gjøvik,2023,5734.59156268477
K-3407 Gjøvik,2024,5795.061041789847
K-3407 Gjøvik,2025,5879.005939132321
K-3407 Gjøvik,2026,5964.326038110176
K-3407 Gjøvik,2027,6049.039239824476
K-3407 Gjøvik,2028,6134.020274472532
K-3407 Gjøvik,2029,6218.883110399466
K-3407 Gjøvik,2030,6303.798109208235
K-3802 Holmestrand,2023,4709.64148600986
K-3802 Holmestrand,2024,4882.786171330046
K-3802 Holmestrand,2025,5049.524472182884
K-3802 Holmestrand,2026,5217.370428534072
K-3802 Holmestrand,2027,5384.617274386485
K-3802 Holmestrand,2028,5552.188168095184
K-3802 Holmestrand,2029,5719.583790274878
K-3802 Holmestrand,2030,5887.074213602871
K-3803 Tønsberg,2023,9874.981117860078
K-3803 Tønsberg,2024,10177.04499766382
K-3803 Tønsberg,2025,10484.968659759039
K-3803 Tønsberg,2026,10792.906410230451
K-3803 Tønsberg,2027,11100.842524888507
K-3803 Tønsberg,2028,11408.778829482244
K-3803 Tønsberg,2029,11716.715112022388
K-3803 Tønsberg,2030,12024.651397123194
K-3806 Porsgrunn,2023,6845.178451181082
K-3806 Porsgrunn,2024,6934.436427765314
K-3806 Porsgrunn,2025,7066.483694628489
K-3806 Porsgrunn,2026,7203.092469256469
K-3806 Porsgrunn,2027,7337.874300418888
K-3806 Porsgrunn,2028,7473.387846312149
K-3806 Porsgrunn,2029,7608.608330894306
K-3806 Porsgrunn,2030,7743.946190361027
K-3807 Skien,2023,10175.446627835074
K-3807 Skien,2024,10473.522198041112
K-3807 Skien,2025,10726.097249841541
K-3807 Skien,2026,10977.925381943574
K-3807 Skien,2027,11229.936257498073
K-3807 Skien,2028,11481.902422530826
K-3807 Skien,2029,11733.879526564282
K-3807 Skien,2030,11985.853954231376
K-4204 Kristiansand,2023,16819.387111220272
K-4204 Kristiansand,2024,17241.612888779728
K-4204 Kristiansand,2025,17704.39751382785
K-4204 Kristiansand,2026,18168.914094760017
K-4204 Kristiansand,2027,18632.915999053923
K-4204 Kristiansand,2028,19097.070847221523
K-4204 Kristiansand,2029,19561.180245825726
K-4204 Kristiansand,2030,20025.303150448595
K-4601 Bergen,2023,41665.17624697191
K-4601 Bergen,2024,42460.475917498676
K-4601 Bergen,2025,43266.83905534236
K-4601 Bergen,2026,44075.78569950074
K-4601 Bergen,2027,44883.909628737485
K-4601 Bergen,2028,45692.29555069259
K-4601 Bergen,2029,46500.598041336714
K-4601 Bergen,2030,47308.927100595785
K-5001 Trondheim - Tråante,2023,28630.024160379922
K-5001 Trondheim - Tråante,2024,29226.868926319272
K-5001 Trondheim - Tråante,2025,29914.471488104806
K-5001 Trondheim - Tråante,2026,30602.088621904823
K-5001 Trondheim - Tråante,2027,31289.704958513095
K-5001 Trondheim - Tråante,2028,31977.32133873337
K-5001 Trondheim - Tråante,2029,32664.937716567758
K-5001 Trondheim - Tråante,2030,33352.55409453267
K-5401 Tromsø,2023,10250.456110708295
K-5401 Tromsø,2024,10570.598852147248
K-5401 Tromsø,2025,10897.583701341473
K-5401 Tromsø,2026,11224.713614435053
K-5401 Tromsø,2027,11551.80925483533
K-5401 Tromsø,2028,11878.91299247766
K-5401 Tromsø,2029,12206.014817071364
K-5401 Tromsø,2030,12533.117093640569
